CD,Male,,,,,,Female,,,,,,Unknown,,,,,
CD,18 to 24,25 to 34,35 to 49,50 to 64,65+,Unknown,18 to 24,25 to 34,35 to 49,50 to 64,65+,Unknown,18 to 24,25 to 34,35 to 49,50 to 64,65+,Unknown
1,"21,726","35,961","49,364","64,356","54,726",0,"22,405","39,790","55,759","71,800","68,333",1,"1,156",671,470,193,121,0
2,"24,203","35,564","49,603","64,823","48,598",1,"24,799","37,626","55,321","70,724","59,600",0,"2,093","1,134",945,467,260,0
3,"23,585","37,191","51,434","68,122","46,365",0,"23,360","38,689","57,978","73,057","56,564",2,"2,799","2,029","1,661",784,399,0
4,"24,465","35,169","55,351","70,707","51,129",0,"25,208","38,284","62,385","77,240","63,471",0,842,769,997,333,183,0
5,"20,590","40,151","53,270","59,864","47,528",0,"21,639","43,586","58,827","66,166","62,328",0,894,"1,117",962,422,230,0
6,"23,308","37,211","54,855","73,935","57,822",0,"24,289","40,229","61,811","82,301","74,174",0,784,628,550,295,145,0
7,"21,660","64,177","47,842","41,536","31,195",0,"26,236","73,241","53,500","46,881","42,105",0,"3,313","2,674","1,777",824,536,0
8,"21,770","48,692","56,705","65,574","50,045",4,"22,867","54,704","63,614","72,518","65,702",1,"1,386","1,136",943,441,230,1
9,"21,060","33,491","49,482","71,294","71,673",0,"21,173","35,845","55,534","81,279","90,285",0,404,233,202,107,61,0